"","Fecha","Casos.semana","Decesos.semana","diasemana.x","Hospitalizados.semana","diasemana.y","Casos","Decesos","Hospitalizados"
"88",2021-11-06,1111,52,"sábado",102,"sábado",0.333,0.137,0.142
"89",2021-11-13,1274,60,"sábado",127,"sábado",0.382,0.158,0.177
"90",2021-11-20,1701,59,"sábado",175,"sábado",0.51,0.156,0.243
"91",2021-11-27,1517,75,"sábado",178,"sábado",0.455,0.198,0.248
"92",2021-12-04,1520,78,"sábado",200,"sábado",0.456,0.206,0.278
"93",2021-12-11,1357,110,"sábado",195,"sábado",0.407,0.29,0.271
"94",2021-12-18,955,90,"sábado",179,"sábado",0.287,0.237,0.249
"95",2021-12-25,1007,88,"sábado",157,"sábado",0.302,0.232,0.218
"96",2022-01-01,2588,73,"sábado",121,"sábado",0.776,0.193,0.168
"97",2022-01-08,7434,62,"sábado",158,"sábado",2.23,0.164,0.22
"98",2022-01-15,10021,75,"sábado",250,"sábado",3.007,0.198,0.348
"99",2022-01-22,8943,116,"sábado",281,"sábado",2.683,0.306,0.391
"100",2022-01-29,5967,125,"sábado",344,"sábado",1.79,0.33,0.478
"101",2022-02-05,3440,150,"sábado",275,"sábado",1.032,0.396,0.382
"102",2022-02-12,1973,126,"sábado",195,"sábado",0.592,0.332,0.271
"103",2022-02-19,1173,71,"sábado",102,"sábado",0.352,0.187,0.142
"104",2022-02-26,755,49,"sábado",57,"sábado",0.227,0.129,0.079
"105",2022-03-05,401,27,"sábado",34,"sábado",0.12,0.071,0.047
"106",2022-03-12,346,16,"sábado",22,"sábado",0.104,0.042,0.031
"107",2022-03-19,89,17,"sábado",12,"sábado",0.027,0.045,0.017
"108",2022-03-26,87,8,"sábado",4,"sábado",0.026,0.021,0.006
"109",2022-04-02,76,3,"sábado",3,"sábado",0.023,0.008,0.004
"110",2022-04-09,61,1,"sábado",4,"sábado",0.018,0.003,0.006
"111",2022-04-16,37,3,"sábado",4,"sábado",0.011,0.008,0.006
"112",2022-04-23,58,0,"sábado",4,"sábado",0.017,0,0.006
"113",2022-04-30,29,2,"sábado",6,"sábado",0.009,0.005,0.008
"114",2022-05-07,35,3,"sábado",2,"sábado",0.011,0.008,0.003
"115",2022-05-14,50,1,"sábado",2,"sábado",0.015,0.003,0.003
"116",2022-05-21,62,2,"sábado",3,"sábado",0.019,0.005,0.004
"117",2022-05-28,111,2,"sábado",1,"sábado",0.033,0.005,0.001
"118",2022-06-04,331,1,"sábado",2,"sábado",0.099,0.003,0.003
"119",2022-06-11,672,1,"sábado",2,"sábado",0.202,0.003,0.003
"120",2022-06-18,1295,0,"sábado",11,"sábado",0.389,0,0.015
"121",2022-06-25,2586,0,"sábado",16,"sábado",0.776,0,0.022
"122",2022-07-02,3759,6,"sábado",46,"sábado",1.128,0.016,0.064
"123",2022-07-09,4817,6,"sábado",58,"sábado",1.445,0.016,0.081
"124",2022-07-16,4776,17,"sábado",75,"sábado",1.433,0.045,0.104
"125",2022-07-23,3254,18,"sábado",82,"sábado",0.976,0.047,0.114
"126",2022-07-30,1930,20,"sábado",62,"sábado",0.579,0.053,0.086
"127",2022-08-06,1403,12,"sábado",39,"sábado",0.421,0.032,0.054
"128",2022-08-13,1080,6,"sábado",31,"sábado",0.324,0.016,0.043
"129",2022-08-20,765,4,"sábado",18,"sábado",0.23,0.011,0.025
"130",2022-08-27,598,11,"sábado",10,"sábado",0.179,0.029,0.014
"131",2022-09-03,309,6,"sábado",6,"sábado",0.093,0.016,0.008
