"Estado","% Ocupación","Fecha","Tipo","Pob_Total"
"Sonora",24.35,2020-08-10,"UCI",2109152
"Sonora",19.93,2020-08-10,"Ventilador",2109152
"Sonora",25.64,2020-08-11,"UCI",2109152
"Sonora",19.71,2020-08-11,"Ventilador",2109152
"Sonora",33.52,2020-08-11,"General",2109152
"Sonora",28.26,2020-08-12,"UCI",2109152
"Sonora",18.23,2020-08-12,"Ventilador",2109152
"Sonora",33.58,2020-08-12,"General",2109152
"Sonora",28.57,2020-08-13,"UCI",2109152
"Sonora",31.73,2020-08-13,"General",2109152
"Sonora",18.88,2020-08-13,"Ventilador",2109152
"Sonora",19.28,2020-08-14,"Ventilador",2109152
"Sonora",30.81,2020-08-14,"General",2109152
"Sonora",30.37,2020-08-14,"UCI",2109152
"Sonora",20.56,2020-08-15,"Ventilador",2109152
"Sonora",25.55,2020-08-15,"UCI",2109152
"Sonora",29.72,2020-08-15,"General",2109152
"Sonora",29.62,2020-08-16,"UCI",2109152
"Sonora",25.88,2020-08-16,"Ventilador",2109152
"Sonora",28.22,2020-08-16,"General",2109152
"Sonora",26.49,2020-08-17,"General",2109152
"Sonora",18.05,2020-08-17,"Ventilador",2109152
"Sonora",24.44,2020-08-17,"UCI",2109152
"Sonora",18.91,2020-08-18,"Ventilador",2109152
"Sonora",26.66,2020-08-18,"UCI",2109152
"Sonora",26.87,2020-08-18,"General",2109152
"Sonora",19.45,2020-08-19,"Ventilador",2109152
"Sonora",26.66,2020-08-19,"General",2109152
"Sonora",23.07,2020-08-19,"UCI",2109152
"Sonora",26.37,2020-08-20,"UCI",2109152
"Sonora",18.71,2020-08-20,"Ventilador",2109152
"Sonora",26.6,2020-08-20,"General",2109152
"Sonora",20.07,2020-08-21,"Ventilador",2109152
"Sonora",26.66,2020-08-21,"UCI",2109152
"Sonora",25.27,2020-08-21,"General",2109152
"Sonora",27.58,2020-08-22,"General",2109152
"Sonora",19.72,2020-08-22,"Ventilador",2109152
"Sonora",29.33,2020-08-22,"UCI",2109152
"Sonora",18.61,2020-08-23,"Ventilador",2109152
"Sonora",27.79,2020-08-23,"General",2109152
"Sonora",25.28,2020-08-23,"UCI",2109152
"Sonora",23.07,2020-08-24,"UCI",2109152
"Sonora",25.97,2020-08-24,"General",2109152
"Sonora",18.31,2020-08-24,"Ventilador",2109152
"Sonora",29.16,2020-08-25,"UCI",2109152
"Sonora",27.75,2020-08-25,"General",2109152
"Sonora",16.45,2020-08-25,"Ventilador",2109152
"Sonora",26.53,2020-08-26,"General",2109152
"Sonora",23.07,2020-08-26,"UCI",2109152
"Sonora",15.08,2020-08-26,"Ventilador",2109152
"Sonora",24.96,2020-08-27,"General",2109152
"Sonora",21.79,2020-08-27,"UCI",2109152
"Sonora",15.64,2020-08-27,"Ventilador",2109152
"Sonora",24.17,2020-08-28,"UCI",2109152
"Sonora",27.92,2020-08-28,"General",2109152
"Sonora",12.33,2020-08-28,"Ventilador",2109152
"Sonora",26.92,2020-08-29,"UCI",2109152
"Sonora",14.09,2020-08-29,"Ventilador",2109152
"Sonora",26.43,2020-08-29,"General",2109152
"Sonora",21.97,2020-08-30,"UCI",2109152
"Sonora",26.08,2020-08-30,"General",2109152
"Sonora",12.24,2020-08-30,"Ventilador",2109152
"Sonora",24.9,2020-08-31,"General",2109152
"Sonora",14.37,2020-08-31,"Ventilador",2109152
"Sonora",20.87,2020-08-31,"UCI",2109152
"Sonora",23.97,2020-09-01,"General",2109152
"Sonora",20.93,2020-09-01,"UCI",2109152
"Sonora",14.37,2020-09-01,"Ventilador",2109152
"Sonora",13.88,2020-09-02,"Ventilador",2109152
"Sonora",25,2020-09-02,"UCI",2109152
"Sonora",21.11,2020-09-02,"General",2109152
"Sonora",25.92,2020-09-03,"UCI",2109152
"Sonora",11.98,2020-09-03,"Ventilador",2109152
"Sonora",21.05,2020-09-03,"General",2109152
"Sonora",11.07,2020-09-04,"Ventilador",2109152
"Sonora",18.02,2020-09-04,"General",2109152
"Sonora",18.55,2020-09-04,"UCI",2109152
"Sonora",20,2020-09-05,"UCI",2109152
"Sonora",17.37,2020-09-05,"General",2109152
"Sonora",11.27,2020-09-05,"Ventilador",2109152
"Sonora",12.18,2020-09-06,"Ventilador",2109152
"Sonora",14.92,2020-09-06,"General",2109152
"Sonora",19.29,2020-09-06,"UCI",2109152
"Sonora",16.47,2020-09-07,"General",2109152
"Sonora",7.93,2020-09-07,"Ventilador",2109152
"Sonora",18.55,2020-09-07,"UCI",2109152
"Sonora",17.18,2020-09-08,"UCI",2109152
"Sonora",15.87,2020-09-08,"General",2109152
"Sonora",7.34,2020-09-08,"Ventilador",2109152
"Sonora",21.68,2020-09-09,"UCI",2109152
"Sonora",16.98,2020-09-09,"General",2109152
"Sonora",8.62,2020-09-09,"Ventilador",2109152
"Sonora",25.27,2020-09-10,"UCI",2109152
"Sonora",16.01,2020-09-10,"General",2109152
"Sonora",11.84,2020-09-10,"Ventilador",2109152
"Sonora",11.56,2020-09-11,"Ventilador",2109152
"Sonora",20,2020-09-11,"UCI",2109152
"Sonora",13.39,2020-09-11,"General",2109152
"Sonora",21.68,2020-09-12,"UCI",2109152
"Sonora",12.21,2020-09-12,"Ventilador",2109152
"Sonora",12.15,2020-09-12,"General",2109152
"Sonora",12.04,2020-09-13,"Ventilador",2109152
"Sonora",13.32,2020-09-13,"General",2109152
"Sonora",20.48,2020-09-13,"UCI",2109152
"Sonora",14.96,2020-09-14,"General",2109152
"Sonora",18.66,2020-09-14,"UCI",2109152
"Sonora",10.15,2020-09-14,"Ventilador",2109152
"Sonora",11.62,2020-09-15,"Ventilador",2109152
"Sonora",24.63,2020-09-15,"UCI",2109152
"Sonora",14.77,2020-09-15,"General",2109152
"Sonora",12.91,2020-09-16,"General",2109152
"Sonora",18.39,2020-09-16,"UCI",2109152
"Sonora",10.57,2020-09-16,"Ventilador",2109152
"Sonora",14.48,2020-09-17,"General",2109152
"Sonora",11.39,2020-09-17,"Ventilador",2109152
"Sonora",16.21,2020-09-17,"UCI",2109152
"Sonora",11.11,2020-09-18,"Ventilador",2109152
"Sonora",19.76,2020-09-18,"UCI",2109152
"Sonora",15.41,2020-09-18,"General",2109152
"Sonora",18.6,2020-09-19,"UCI",2109152
"Sonora",10.67,2020-09-19,"Ventilador",2109152
"Sonora",16.71,2020-09-19,"General",2109152
"Sonora",16.95,2020-09-20,"General",2109152
"Sonora",10.93,2020-09-20,"Ventilador",2109152
"Sonora",16.43,2020-09-20,"UCI",2109152
"Sonora",15.11,2020-09-21,"UCI",2109152
"Sonora",8.97,2020-09-21,"Ventilador",2109152
"Sonora",15.94,2020-09-21,"General",2109152
"Sonora",9.58,2020-09-22,"UCI",2109152
"Sonora",15.96,2020-09-22,"General",2109152
"Sonora",9.56,2020-09-22,"Ventilador",2109152
"Sonora",10.46,2020-09-23,"UCI",2109152
"Sonora",8.73,2020-09-23,"Ventilador",2109152
"Sonora",15.62,2020-09-23,"General",2109152
"Sonora",18.18,2020-09-24,"General",2109152
"Sonora",9.56,2020-09-24,"Ventilador",2109152
"Sonora",12.32,2020-09-24,"UCI",2109152
"Sonora",14.6,2020-09-25,"UCI",2109152
"Sonora",8.44,2020-09-25,"Ventilador",2109152
"Sonora",16.69,2020-09-25,"General",2109152
"Sonora",15.66,2020-09-26,"UCI",2109152
"Sonora",18.16,2020-09-26,"General",2109152
"Sonora",9.42,2020-09-26,"Ventilador",2109152
"Sonora",18.27,2020-09-27,"General",2109152
"Sonora",10.15,2020-09-27,"Ventilador",2109152
"Sonora",18.07,2020-09-27,"UCI",2109152
"Sonora",7.4,2020-09-28,"Ventilador",2109152
"Sonora",12.16,2020-09-28,"UCI",2109152
"Sonora",18.23,2020-09-28,"General",2109152
"Sonora",17.97,2020-09-29,"General",2109152
"Sonora",26.08,2020-09-29,"UCI",2109152
"Sonora",11.22,2020-09-29,"Ventilador",2109152
"Sonora",19.45,2020-09-30,"General",2109152
"Sonora",13.39,2020-09-30,"Ventilador",2109152
"Sonora",21.81,2020-09-30,"UCI",2109152
"Sonora",34.28,2020-10-01,"UCI",2109152
"Sonora",11.92,2020-10-01,"Ventilador",2109152
"Sonora",20.38,2020-10-01,"General",2109152
"Sonora",23.8,2020-10-02,"UCI",2109152
"Sonora",18.91,2020-10-02,"General",2109152
