"","Fecha","CVEGEO","MUNICIPIO","CASOS_SINTOMAS"
"431",2020-01-06,26059,"Santa Cruz",0
"432",2020-01-06,26009,"Bacanora",0
"433",2020-01-06,26050,"Rayón",0
"434",2020-01-06,26053,"San Felipe de Jesús",0
"435",2020-01-06,26061,"Soyopa",0
"436",2020-01-06,26062,"Suaqui Grande",0
"437",2020-01-06,26054,"San Javier",0
"438",2020-01-06,26057,"San Pedro de la Cueva",0
"439",2020-01-07,26018,"Cajeme",0
"440",2020-01-07,26030,"Hermosillo",0
"441",2020-01-07,26055,"San Luis Río Colorado",0
"442",2020-01-07,26058,"Santa Ana",0
"443",2020-01-07,26042,"Navojoa",0
"444",2020-01-07,26043,"Nogales",0
"445",2020-01-07,26011,"Bacoachi",0
"446",2020-01-07,26002,"Agua Prieta",0
"447",2020-01-07,26036,"Magdalena",0
"448",2020-01-07,26048,"Puerto Peñasco",0
"449",2020-01-07,26029,"Guaymas",0
"450",2020-01-07,26999,"Sin municipio registrado",0
"451",2020-01-07,26025,"Empalme",0
"452",2020-01-07,26033,"Huatabampo",0
"453",2020-01-07,26047,"Pitiquito",0
"454",2020-01-07,26017,"Caborca",0
"455",2020-01-07,26004,"Altar",0
"456",2020-01-07,26012,"Bácum",0
"457",2020-01-07,26072,"San Ignacio Río Muerto",0
"458",2020-01-07,26071,"Benito Juárez",0
"459",2020-01-07,26052,"Sahuaripa",0
"460",2020-01-07,26003,"Álamos",0
"461",2020-01-07,26037,"Mazatán",0
"462",2020-01-07,26049,"Quiriego",0
"463",2020-01-07,26066,"Ures",0
"464",2020-01-07,26027,"Fronteras",0
"465",2020-01-07,26007,"Átil",0
"466",2020-01-07,26019,"Cananea",0
"467",2020-01-07,26034,"Huépac",0
"468",2020-01-07,26041,"Nacozari de García",0
"469",2020-01-07,26014,"Baviácora",0
"470",2020-01-07,26026,"Etchojoa",0
"471",2020-01-07,26064,"Trincheras",0
"472",2020-01-07,26060,"Sáric",0
"473",2020-01-07,26067,"Villa Hidalgo",0
"474",2020-01-07,26045,"Opodepe",0
"475",2020-01-07,26008,"Bacadéhuachi",0
"476",2020-01-07,26070,"General Plutarco Elías Calles",0
"477",2020-01-07,26013,"Banámichi",0
"478",2020-01-07,26068,"Villa Pesqueira",0
"479",2020-01-07,26001,"Aconchi",0
"480",2020-01-07,26039,"Naco",0
"481",2020-01-07,26044,"Ónavas",0
"482",2020-01-07,26035,"Imuris",0
"483",2020-01-07,26020,"Carbó",0
"484",2020-01-07,26038,"Moctezuma",0
"485",2020-01-07,26065,"Tubutama",0
"486",2020-01-07,26016,"Benjamín Hill",0
"487",2020-01-07,26023,"Cumpas",0
"488",2020-01-07,26015,"Bavispe",0
"489",2020-01-07,26032,"Huásabas",0
"490",2020-01-07,26046,"Oquitoa",0
"491",2020-01-07,26005,"Arivechi",0
"492",2020-01-07,26051,"Rosario",0
"493",2020-01-07,26006,"Arizpe",0
"494",2020-01-07,26056,"San Miguel de Horcasitas",0
"495",2020-01-07,26022,"Cucurpe",0
"496",2020-01-07,26010,"Bacerac",0
"497",2020-01-07,26040,"Nácori Chico",0
"498",2020-01-07,26021,"La Colorada",0
"499",2020-01-07,26031,"Huachinera",0
"500",2020-01-07,26024,"Divisaderos",0
"501",2020-01-07,26028,"Granados",0
"502",2020-01-07,26069,"Yécora",0
"503",2020-01-07,26063,"Tepache",0
"504",2020-01-07,26059,"Santa Cruz",0
"505",2020-01-07,26009,"Bacanora",0
"506",2020-01-07,26050,"Rayón",0
"507",2020-01-07,26053,"San Felipe de Jesús",0
"508",2020-01-07,26061,"Soyopa",0
"509",2020-01-07,26062,"Suaqui Grande",0
"510",2020-01-07,26054,"San Javier",0
"511",2020-01-07,26057,"San Pedro de la Cueva",0
"512",2020-01-08,26018,"Cajeme",0
"513",2020-01-08,26030,"Hermosillo",0
"514",2020-01-08,26055,"San Luis Río Colorado",0
"515",2020-01-08,26058,"Santa Ana",0
"516",2020-01-08,26042,"Navojoa",0
"517",2020-01-08,26043,"Nogales",0
"518",2020-01-08,26011,"Bacoachi",0
"519",2020-01-08,26002,"Agua Prieta",0
"520",2020-01-08,26036,"Magdalena",0
"521",2020-01-08,26048,"Puerto Peñasco",0
"522",2020-01-08,26029,"Guaymas",0
"523",2020-01-08,26999,"Sin municipio registrado",0
"524",2020-01-08,26025,"Empalme",0
"525",2020-01-08,26033,"Huatabampo",0
"526",2020-01-08,26047,"Pitiquito",0
"527",2020-01-08,26017,"Caborca",0
"528",2020-01-08,26004,"Altar",0
"529",2020-01-08,26012,"Bácum",0
"530",2020-01-08,26072,"San Ignacio Río Muerto",0
"531",2020-01-08,26071,"Benito Juárez",0
"532",2020-01-08,26052,"Sahuaripa",0
"533",2020-01-08,26003,"Álamos",0
"534",2020-01-08,26037,"Mazatán",0
"535",2020-01-08,26049,"Quiriego",0
"536",2020-01-08,26066,"Ures",0
"537",2020-01-08,26027,"Fronteras",0
"538",2020-01-08,26007,"Átil",0
"539",2020-01-08,26019,"Cananea",0
"540",2020-01-08,26034,"Huépac",0
"541",2020-01-08,26041,"Nacozari de García",0
"542",2020-01-08,26014,"Baviácora",0
"543",2020-01-08,26026,"Etchojoa",0
"544",2020-01-08,26064,"Trincheras",0
"545",2020-01-08,26060,"Sáric",0
"546",2020-01-08,26067,"Villa Hidalgo",0
"547",2020-01-08,26045,"Opodepe",0
"548",2020-01-08,26008,"Bacadéhuachi",0
"549",2020-01-08,26070,"General Plutarco Elías Calles",0
"550",2020-01-08,26013,"Banámichi",0
"551",2020-01-08,26068,"Villa Pesqueira",0
"552",2020-01-08,26001,"Aconchi",0
"553",2020-01-08,26039,"Naco",0
"554",2020-01-08,26044,"Ónavas",0
"555",2020-01-08,26035,"Imuris",0
"556",2020-01-08,26020,"Carbó",0
"557",2020-01-08,26038,"Moctezuma",0
"558",2020-01-08,26065,"Tubutama",0
"559",2020-01-08,26016,"Benjamín Hill",0
"560",2020-01-08,26023,"Cumpas",0
"561",2020-01-08,26015,"Bavispe",0
"562",2020-01-08,26032,"Huásabas",0
"563",2020-01-08,26046,"Oquitoa",0
"564",2020-01-08,26005,"Arivechi",0
"565",2020-01-08,26051,"Rosario",0
"566",2020-01-08,26006,"Arizpe",0
"567",2020-01-08,26056,"San Miguel de Horcasitas",0
"568",2020-01-08,26022,"Cucurpe",0
"569",2020-01-08,26010,"Bacerac",0
"570",2020-01-08,26040,"Nácori Chico",0
"571",2020-01-08,26021,"La Colorada",0
"572",2020-01-08,26031,"Huachinera",0
"573",2020-01-08,26024,"Divisaderos",0
"574",2020-01-08,26028,"Granados",0
"575",2020-01-08,26069,"Yécora",0
"576",2020-01-08,26063,"Tepache",0
"577",2020-01-08,26059,"Santa Cruz",0
"578",2020-01-08,26009,"Bacanora",0
"579",2020-01-08,26050,"Rayón",0
"580",2020-01-08,26053,"San Felipe de Jesús",0
"581",2020-01-08,26061,"Soyopa",0
"582",2020-01-08,26062,"Suaqui Grande",0
"583",2020-01-08,26054,"San Javier",0
"584",2020-01-08,26057,"San Pedro de la Cueva",0
"585",2020-01-09,26018,"Cajeme",0
"586",2020-01-09,26030,"Hermosillo",0
"587",2020-01-09,26055,"San Luis Río Colorado",0
"588",2020-01-09,26058,"Santa Ana",0
"589",2020-01-09,26042,"Navojoa",0
"590",2020-01-09,26043,"Nogales",0
"591",2020-01-09,26011,"Bacoachi",0
"592",2020-01-09,26002,"Agua Prieta",0
"593",2020-01-09,26036,"Magdalena",0
"594",2020-01-09,26048,"Puerto Peñasco",0
"595",2020-01-09,26029,"Guaymas",0
"596",2020-01-09,26999,"Sin municipio registrado",0
"597",2020-01-09,26025,"Empalme",0
"598",2020-01-09,26033,"Huatabampo",0
"599",2020-01-09,26047,"Pitiquito",0
"600",2020-01-09,26017,"Caborca",0
"601",2020-01-09,26004,"Altar",0
"602",2020-01-09,26012,"Bácum",0
"603",2020-01-09,26072,"San Ignacio Río Muerto",0
"604",2020-01-09,26071,"Benito Juárez",0
