"","fecha_ingreso","Analizados","Resultados_lab","Confirmados_lab","Descartados_lab","Sospechosos","Casos","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas"
"116",2020-06-08,40,37,25,12,2,26,16,10,6,3,3,17,9,16,10,0,9,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,1,9,5
"117",2020-06-09,26,26,19,7,0,19,7,12,2,2,0,16,3,9,4,0,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,1,1,1
"118",2020-06-10,21,21,14,7,0,14,10,4,1,0,1,13,1,4,2,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,1,0,0
"119",2020-06-11,21,21,15,6,0,15,9,6,5,5,0,8,7,14,8,0,8,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,2,4,3
"120",2020-06-12,19,17,12,5,2,12,6,6,1,1,0,10,2,4,2,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,4,1
"121",2020-06-13,6,6,5,1,0,5,2,3,0,0,0,4,1,2,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"122",2020-06-14,7,5,3,2,0,4,4,0,3,3,0,0,4,8,4,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
"123",2020-06-15,44,43,19,24,1,19,6,13,3,1,2,13,6,20,7,0,10,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,2,4,1
"124",2020-06-16,28,25,15,10,2,16,6,10,5,2,3,9,7,12,8,0,7,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,3,3,2
"125",2020-06-17,35,34,23,11,1,23,12,11,1,1,0,21,2,6,3,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,4,1
"126",2020-06-18,19,19,17,2,0,17,9,8,3,2,1,12,5,9,5,0,6,1,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,11,1,4,1
"127",2020-06-19,22,22,13,9,0,13,7,6,1,0,1,11,2,5,2,0,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,2,1
"128",2020-06-20,5,5,5,0,0,5,4,1,2,2,0,1,4,7,5,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2
"129",2020-06-21,15,12,9,3,2,9,2,7,4,0,4,1,8,19,9,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,3
"130",2020-06-22,35,32,22,10,2,22,11,11,2,1,1,19,3,6,3,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,1,3,1
"131",2020-06-23,30,29,22,7,1,22,11,11,2,1,1,20,2,6,3,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,16,0,4,2
"132",2020-06-24,41,41,29,12,0,29,14,15,3,1,2,23,6,11,7,0,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,2,7,1
"133",2020-06-25,22,21,12,9,0,13,6,7,4,0,4,9,4,9,5,0,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,4,4
