"","Fecha","CVEGEO","MUNICIPIO","CASOS_ACTIVOS"
"520",2020-04-19,26026,"Etchojoa",0
"521",2020-04-19,26027,"Fronteras",0
"522",2020-04-19,26029,"Guaymas",0
"523",2020-04-19,26030,"Hermosillo",9
"524",2020-04-19,26033,"Huatabampo",3
"525",2020-04-19,26034,"Huépac",0
"526",2020-04-19,26036,"Magdalena",1
"527",2020-04-19,26041,"Nacozari de García",0
"528",2020-04-19,26042,"Navojoa",0
"529",2020-04-19,26043,"Nogales",3
"530",2020-04-19,26045,"Opodepe",0
"531",2020-04-19,26047,"Pitiquito",0
"532",2020-04-19,26048,"Puerto Peñasco",0
"533",2020-04-19,26052,"Sahuaripa",0
"534",2020-04-19,26055,"San Luis Río Colorado",25
"535",2020-04-19,26058,"Santa Ana",0
"536",2020-04-19,26060,"Sáric",1
"537",2020-04-19,26066,"Ures",0
"538",2020-04-19,26067,"Villa Hidalgo",0
"539",2020-04-19,26999,"Sin municipio registrado",0
"540",2020-04-19,26070,"General Plutarco Elías Calles",1
"541",2020-04-19,26013,"Banámichi",0
"542",2020-04-19,26003,"Álamos",0
"543",2020-04-19,26004,"Altar",0
"544",2020-04-19,26039,"Naco",0
"545",2020-04-19,26001,"Aconchi",0
"546",2020-04-19,26035,"Imuris",0
"547",2020-04-19,26044,"Ónavas",0
"548",2020-04-19,26020,"Carbó",0
"549",2020-04-19,26038,"Moctezuma",0
"550",2020-04-19,26068,"Villa Pesqueira",0
"551",2020-04-19,26071,"Benito Juárez",0
"552",2020-04-19,26016,"Benjamín Hill",0
"553",2020-04-19,26065,"Tubutama",0
"554",2020-04-19,26023,"Cumpas",0
"555",2020-04-19,26032,"Huásabas",0
"556",2020-04-19,26015,"Bavispe",0
"557",2020-04-19,26064,"Trincheras",0
"558",2020-04-19,26072,"San Ignacio Río Muerto",0
"559",2020-04-19,26005,"Arivechi",0
"560",2020-04-19,26037,"Mazatán",0
"561",2020-04-19,26046,"Oquitoa",0
"562",2020-04-19,26051,"Rosario",0
"563",2020-04-19,26006,"Arizpe",0
"564",2020-04-19,26011,"Bacoachi",0
"565",2020-04-19,26022,"Cucurpe",0
"566",2020-04-19,26056,"San Miguel de Horcasitas",0
"567",2020-04-19,26040,"Nácori Chico",0
"568",2020-04-19,26049,"Quiriego",0
"569",2020-04-19,26010,"Bacerac",0
"570",2020-04-19,26031,"Huachinera",0
"571",2020-04-19,26021,"La Colorada",0
"572",2020-04-19,26028,"Granados",0
"573",2020-04-19,26063,"Tepache",0
"574",2020-04-19,26024,"Divisaderos",0
"575",2020-04-19,26050,"Rayón",0
"576",2020-04-19,26053,"San Felipe de Jesús",0
"577",2020-04-19,26059,"Santa Cruz",0
"578",2020-04-19,26069,"Yécora",0
"579",2020-04-19,26009,"Bacanora",0
"580",2020-04-19,26062,"Suaqui Grande",0
"581",2020-04-19,26054,"San Javier",0
"582",2020-04-19,26061,"Soyopa",0
"583",2020-04-19,26007,"Átil",0
"584",2020-04-19,26057,"San Pedro de la Cueva",0
"585",2020-04-20,26002,"Agua Prieta",0
"586",2020-04-20,26008,"Bacadéhuachi",0
"587",2020-04-20,26012,"Bácum",0
"588",2020-04-20,26014,"Baviácora",0
"589",2020-04-20,26017,"Caborca",4
"590",2020-04-20,26018,"Cajeme",2
"591",2020-04-20,26019,"Cananea",0
"592",2020-04-20,26025,"Empalme",0
"593",2020-04-20,26026,"Etchojoa",0
"594",2020-04-20,26027,"Fronteras",0
"595",2020-04-20,26029,"Guaymas",0
"596",2020-04-20,26030,"Hermosillo",8
"597",2020-04-20,26033,"Huatabampo",2
"598",2020-04-20,26034,"Huépac",0
"599",2020-04-20,26036,"Magdalena",1
"600",2020-04-20,26041,"Nacozari de García",0
"601",2020-04-20,26042,"Navojoa",0
"602",2020-04-20,26043,"Nogales",3
"603",2020-04-20,26045,"Opodepe",0
"604",2020-04-20,26047,"Pitiquito",0
"605",2020-04-20,26048,"Puerto Peñasco",0
