"","fecha_sintomas","casos24","casos17","diferencia"
"624",2021-11-26,243,243,0
"625",2021-11-27,206,206,0
"626",2021-11-28,242,241,1
"627",2021-11-29,201,201,0
"628",2021-11-30,259,259,0
"629",2021-12-01,209,209,0
"630",2021-12-02,190,190,0
"631",2021-12-03,227,227,0
"632",2021-12-04,214,214,0
"633",2021-12-05,237,237,0
"634",2021-12-06,230,230,0
"635",2021-12-07,157,157,0
"636",2021-12-08,151,151,0
"637",2021-12-09,176,176,0
"638",2021-12-10,252,252,0
"639",2021-12-11,163,163,0
"640",2021-12-12,143,143,0
"641",2021-12-13,184,184,0
"642",2021-12-14,130,130,0
"643",2021-12-15,146,146,0
"644",2021-12-16,100,100,0
"645",2021-12-17,114,114,0
"646",2021-12-18,137,137,0
"647",2021-12-19,123,123,0
"648",2021-12-20,176,176,0
"649",2021-12-21,103,103,0
"650",2021-12-22,99,99,0
"651",2021-12-23,124,124,0
"652",2021-12-24,178,178,0
"653",2021-12-25,202,202,0
"654",2021-12-26,251,251,0
"655",2021-12-27,307,307,0
"656",2021-12-28,247,247,0
"657",2021-12-29,191,191,0
"658",2021-12-30,303,303,0
"659",2021-12-31,502,502,0
"660",2022-01-01,777,777,0
"661",2022-01-02,748,745,3
"662",2022-01-03,1094,1093,1
"663",2022-01-04,927,927,0
"664",2022-01-05,922,922,0
"665",2022-01-06,974,974,0
"666",2022-01-07,1115,1115,0
"667",2022-01-08,1486,1486,0
"668",2022-01-09,1529,1529,0
"669",2022-01-10,1884,1884,0
"670",2022-01-11,1253,1253,0
"671",2022-01-12,1244,1244,0
"672",2022-01-13,1089,1089,0
"673",2022-01-14,1168,1168,0
"674",2022-01-15,1342,1342,0
"675",2022-01-16,1345,1344,1
"676",2022-01-17,1631,1631,0
"677",2022-01-18,1286,1283,3
"678",2022-01-19,993,993,0
"679",2022-01-20,1212,1211,1
"680",2022-01-21,1004,1004,0
"681",2022-01-22,1089,1089,0
"682",2022-01-23,898,897,1
"683",2022-01-24,1154,1151,3
"684",2022-01-25,889,887,2
"685",2022-01-26,688,688,0
"686",2022-01-27,646,645,1
"687",2022-01-28,668,667,1
"688",2022-01-29,615,614,1
"689",2022-01-30,620,620,0
"690",2022-01-31,776,772,4
"691",2022-02-01,648,642,6
"692",2022-02-02,361,359,2
"693",2022-02-03,307,306,1
"694",2022-02-04,319,318,1
"695",2022-02-05,360,360,0
"696",2022-02-06,395,395,0
"697",2022-02-07,358,357,1
"698",2022-02-08,319,318,1
"699",2022-02-09,235,235,0
"700",2022-02-10,225,225,0
"701",2022-02-11,182,182,0
"702",2022-02-12,230,230,0
"703",2022-02-13,224,224,0
"704",2022-02-14,193,193,0
"705",2022-02-15,151,151,0
"706",2022-02-16,116,116,0
"707",2022-02-17,107,107,0
"708",2022-02-18,185,185,0
"709",2022-02-19,182,182,0
"710",2022-02-20,202,202,0
"711",2022-02-21,151,151,0
"712",2022-02-22,103,103,0
"713",2022-02-23,71,71,0
"714",2022-02-24,83,83,0
"715",2022-02-25,63,63,0
"716",2022-02-26,68,68,0
"717",2022-02-27,56,56,0
"718",2022-02-28,87,87,0
"719",2022-03-01,64,64,0
"720",2022-03-02,39,39,0
"721",2022-03-03,29,29,0
"722",2022-03-04,56,56,0
"723",2022-03-05,55,52,3
"724",2022-03-06,130,129,1
"725",2022-03-07,101,101,0
"726",2022-03-08,30,29,1
"727",2022-03-09,32,32,0
"728",2022-03-10,22,22,0
"729",2022-03-11,16,15,1
"730",2022-03-12,10,10,0
"731",2022-03-13,11,11,0
"732",2022-03-14,20,20,0
"733",2022-03-15,18,17,1
"734",2022-03-16,11,11,0
"735",2022-03-17,6,5,1
"736",2022-03-18,12,12,0
"737",2022-03-19,10,10,0
"738",2022-03-20,11,11,0
"739",2022-03-21,10,9,1
"740",2022-03-22,11,10,1
"741",2022-03-23,12,11,1
"742",2022-03-24,7,7,0
"743",2022-03-25,17,16,1
"744",2022-03-26,16,14,2
"745",2022-03-27,9,8,1
"746",2022-03-28,21,21,0
"747",2022-03-29,9,7,2
"748",2022-03-30,7,7,0
"749",2022-03-31,7,7,0
"750",2022-04-01,7,6,1
"751",2022-04-02,10,9,1
"752",2022-04-03,8,7,1
"753",2022-04-04,14,12,2
"754",2022-04-05,7,4,3
"755",2022-04-06,7,1,6
"756",2022-04-07,6,2,4
"757",2022-04-08,1,NA,NA
"758",2022-04-09,4,NA,NA
"759",2022-04-10,2,NA,NA
"760",2022-04-11,2,NA,NA
"761",2022-04-13,2,NA,NA
