"","fecha_sintomas","Analizados","Resultados_lab","Confirmados_lab","Descartados_lab","Sospechosos","Casos","C_M","C_H","Decesos","D_M","D_H","Ambulatorios","Hospitalizados","Graves","Criticos","UCI","C_IMSS","D_IMSS","C_SSA","D_SSA","C_Estatal","D_Estatal","C_Municipal","D_Municipal","C_ISSSTE","D_ISSSTE","C_Privada","D_Privada","C_SEDENA","D_SEDENA","C_SEMAR","D_SEMAR","C_PEMEX","D_PEMEX","C_0_14","D_0_14","C_15_29","D_15_29","C_30_59","D_30_59","C_60_mas","D_60_mas"
"559",2021-07-14,178,163,67,96,1,81,42,39,2,0,2,78,3,10,6,0,23,2,30,0,25,0,0,0,2,0,1,0,0,0,0,0,0,0,7,0,21,0,47,1,6,1
"560",2021-07-15,253,237,105,132,5,115,61,54,1,0,1,106,9,19,10,1,27,1,72,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,49,0,56,1,5,0
"561",2021-07-16,338,324,133,191,3,144,82,62,5,4,1,134,10,19,13,0,49,4,81,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,40,0,83,4,9,1
"562",2021-07-17,353,337,142,195,1,156,86,70,4,3,1,143,13,28,15,0,51,4,76,0,20,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,53,0,83,1,11,3
"563",2021-07-18,296,280,101,179,4,112,64,48,6,1,5,99,13,30,15,0,42,5,45,0,18,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,33,0,66,5,9,1
"564",2021-07-19,309,285,106,179,12,117,53,64,5,1,4,103,14,30,17,0,53,2,33,0,25,0,0,0,6,2,0,0,0,0,0,0,0,0,6,0,48,0,53,1,10,4
"565",2021-07-20,296,277,90,187,4,104,62,42,3,3,0,98,6,22,7,0,47,2,27,0,24,0,0,0,6,1,0,0,0,0,0,0,0,0,10,0,29,0,55,1,10,2
"566",2021-07-21,254,234,82,152,7,92,48,44,7,3,4,81,11,23,13,1,35,5,38,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,22,0,54,5,9,2
"567",2021-07-22,355,335,138,197,7,150,70,80,6,5,1,134,16,33,18,2,43,4,96,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,61,0,74,5,8,1
"568",2021-07-23,376,348,128,220,9,147,69,78,2,0,2,139,8,22,8,0,53,1,67,0,23,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,56,0,74,1,11,1
"569",2021-07-24,391,374,158,216,4,170,85,85,6,3,3,158,12,32,16,2,56,1,85,0,23,3,0,0,6,0,0,0,0,0,0,0,0,0,11,0,50,0,96,4,13,2
"570",2021-07-25,347,328,120,208,4,135,79,56,5,2,3,121,14,30,15,1,38,3,70,0,24,0,0,0,3,1,0,0,0,0,0,0,0,0,4,0,48,0,69,2,14,3
"571",2021-07-26,322,309,106,203,0,119,66,53,6,2,4,100,19,38,20,0,60,2,24,0,32,2,0,0,2,1,1,0,0,0,0,0,0,0,8,0,39,0,63,4,9,2
"572",2021-07-27,331,312,88,224,3,103,58,45,3,3,0,93,10,19,13,0,49,1,20,0,31,1,0,0,3,0,0,0,0,0,0,0,0,0,12,0,39,0,41,1,11,2
"573",2021-07-28,381,371,124,247,1,133,66,67,3,1,2,127,6,14,6,0,47,3,65,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,49,0,60,0,16,3
"574",2021-07-29,512,483,151,332,3,175,97,78,2,0,2,165,10,21,10,0,34,2,106,0,30,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,65,0,86,1,15,1
"575",2021-07-30,288,267,101,166,2,120,61,59,4,1,3,111,9,19,9,0,46,4,44,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,45,0,53,2,9,2
"576",2021-07-31,371,348,133,215,2,154,90,64,4,1,3,141,13,30,13,0,45,3,80,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,66,0,70,1,10,3
"577",2021-08-01,412,387,125,262,3,145,74,71,11,6,5,128,17,35,23,3,53,6,63,0,21,1,0,0,8,1,0,0,0,0,0,0,0,0,7,0,44,0,84,8,10,3
"578",2021-08-02,331,306,121,185,11,135,66,69,2,1,1,123,12,23,12,0,62,0,43,0,26,0,0,0,4,1,0,0,0,0,0,0,0,0,12,0,39,0,74,1,10,1
"579",2021-08-03,195,181,74,107,1,87,36,51,3,0,3,79,8,17,10,0,39,2,18,0,29,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,26,0,51,3,6,0
"580",2021-08-04,317,296,113,183,4,129,70,59,4,3,1,116,13,30,15,1,37,2,73,0,18,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,36,0,73,2,12,2
"581",2021-08-05,281,263,143,120,2,158,81,77,5,1,4,144,14,31,19,4,49,2,95,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,12,0,45,0,89,4,12,1
"582",2021-08-06,326,313,146,167,1,158,73,85,3,1,2,143,15,32,17,0,48,3,82,0,23,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,55,0,81,2,12,1
"583",2021-08-07,338,310,125,185,8,144,79,65,1,1,0,133,11,24,12,0,48,1,76,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,46,1,81,0,8,0
"584",2021-08-08,299,285,142,143,1,155,92,63,3,1,2,139,16,39,16,0,45,2,85,0,21,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,47,0,92,0,13,3
"585",2021-08-09,281,264,142,122,9,149,85,64,7,2,5,131,18,37,24,2,65,3,52,0,22,0,0,0,10,1,0,0,0,0,0,0,0,0,5,0,47,0,84,5,13,2
"586",2021-08-10,261,252,113,139,4,118,76,42,7,3,4,102,16,31,19,2,53,3,44,0,11,0,0,0,10,2,0,0,0,0,0,0,0,0,6,0,26,0,70,2,16,5
"587",2021-08-11,244,231,108,123,0,121,70,51,5,0,5,109,12,27,14,0,57,5,47,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,37,0,63,3,10,2
"588",2021-08-12,291,281,119,162,3,126,58,68,5,0,5,118,8,20,10,1,47,2,68,0,10,1,0,0,1,1,0,0,0,0,0,0,0,0,6,0,42,0,69,2,9,3
"589",2021-08-13,340,316,126,190,2,146,79,67,3,1,2,137,9,22,10,0,51,2,79,0,15,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,45,1,83,1,11,1
"590",2021-08-14,369,343,133,210,1,158,79,79,6,2,4,149,9,21,12,0,49,5,83,0,22,1,0,0,4,0,0,0,0,0,0,0,0,0,13,0,47,1,86,1,12,4
"591",2021-08-15,373,339,110,229,19,125,67,58,4,2,2,117,8,22,8,0,46,3,64,0,12,0,0,0,3,1,0,0,0,0,0,0,0,0,9,0,43,0,58,2,15,2
"592",2021-08-16,285,268,74,194,3,88,55,33,4,1,3,83,5,11,6,0,41,2,29,0,16,1,0,0,2,1,0,0,0,0,0,0,0,0,9,0,26,0,43,0,10,4
"593",2021-08-17,296,268,85,183,3,110,72,38,2,2,0,100,10,24,12,1,32,0,45,0,26,1,0,0,7,0,0,0,0,0,0,0,0,0,9,0,28,0,68,1,5,1
"594",2021-08-18,366,352,135,217,3,144,80,64,7,4,3,133,11,29,17,1,47,3,80,0,16,1,0,0,1,1,0,0,0,0,0,0,0,0,10,0,43,1,82,3,9,3
"595",2021-08-19,349,337,125,212,1,136,67,69,4,2,2,127,9,19,11,0,39,3,81,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,42,1,70,1,12,2
"596",2021-08-20,368,343,121,222,3,143,87,56,6,4,2,134,9,24,13,0,49,4,71,0,20,1,0,0,3,0,0,0,0,0,0,0,0,0,11,0,42,0,76,3,14,3
"597",2021-08-21,381,365,139,226,4,151,84,67,4,0,4,141,10,19,14,0,56,1,68,0,19,3,0,0,8,0,0,0,0,0,0,0,0,0,14,0,36,0,84,0,17,4
"598",2021-08-22,272,253,84,169,2,101,60,41,6,4,2,92,9,22,11,0,44,6,34,0,20,0,0,0,2,0,0,0,1,0,0,0,0,0,8,0,22,0,60,4,11,2
"599",2021-08-23,272,257,85,172,3,96,40,56,4,1,3,83,13,30,14,0,45,2,25,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,0,61,3,9,1
"600",2021-08-24,170,149,60,89,2,79,43,36,2,2,0,74,5,14,7,0,33,1,11,0,30,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,21,0,47,1,6,1
"601",2021-08-25,208,183,76,107,7,94,61,33,4,2,2,86,8,17,8,0,42,4,25,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,23,0,49,1,11,3
"602",2021-08-26,235,212,73,139,1,95,54,41,3,2,1,87,8,19,8,0,30,3,41,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,17,0,56,2,10,1
"603",2021-08-27,279,254,92,162,2,115,54,61,0,0,0,113,2,5,2,0,24,0,61,0,27,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,26,0,69,0,9,0
"604",2021-08-28,255,237,101,136,2,117,64,53,5,1,4,110,7,16,9,2,40,3,45,0,29,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,29,0,68,2,13,3
"605",2021-08-29,263,248,87,161,0,102,59,43,6,3,3,89,13,33,15,1,46,4,37,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,15,0,68,3,10,3
"606",2021-08-30,178,157,60,97,1,80,48,32,2,1,1,71,9,20,10,1,37,1,14,0,25,1,0,0,4,0,0,0,0,0,0,0,0,0,15,0,20,0,35,1,10,1
"607",2021-08-31,144,123,45,78,3,63,35,28,2,0,2,58,5,12,5,0,23,2,13,0,23,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,14,0,34,0,7,2
"608",2021-09-01,175,162,66,96,1,78,43,35,6,0,6,66,12,25,15,1,29,3,31,0,16,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,15,0,49,1,10,5
"609",2021-09-02,170,158,71,87,2,81,38,43,4,2,2,72,9,17,9,0,27,3,45,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,17,0,47,2,11,2
"610",2021-09-03,147,139,54,85,1,61,33,28,3,2,1,55,6,14,6,0,14,1,32,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,16,0,29,1,9,2
"611",2021-09-04,181,160,61,99,2,79,46,33,2,0,2,72,7,19,10,1,20,1,34,0,21,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,20,0,41,0,11,2
